Commodity Code,Commodity description
0,Food and live animals chiefly for food
00,Live animals chiefly for food
01,Meat and preparations
02,Dairy products and birds' eggs
03,"Fish, crustacean and molluscs, and preparations thereof"
04,Cereals and cereal preparations
05,Vegetables and fruit
06,"Sugar, sugar preparations and honey"
07,"Coffee, tea, cocoa, spices, and manufactures thereof"
08,Feeding stuff for animals (not including unmilled cereals)
09,Miscellaneous edible products and preparations
1,Beverages and tobacco
11,Beverages
12,Tobacco and tobacco manufactures
2,"Crude materials, inedible, except fuels"
21,"Hides, skins and furskins, raw"
22,Oil seeds and oleaginous fruit
23,Crude rubber (including synthetic and reclaimed)
24,Cork and wood
25,Pulp and waste paper
26,Textile fibres (not wool tops) and their wastes (not in yarn)
27,Crude fertilizer and crude minerals
28,Metalliferous ores and metal scrap
29,"Crude animal and vegetable materials, nes"
3,"Mineral fuels, lubricants and related materials"
32,"Coal, coke and briquettes"
33,"Petroleum, petroleum products and related materials"
34,"Gas, natural and manufactured"
35,Electric current
4,"Animal and vegetable oils, fats and waxes"
41,Animal oils and fats
42,Fixed vegetable oils and fats
43,"Animal and vegetable oils and fats, processed, and waxes"
5,"Chemicals and related products, nes"
51,Organic chemicals
52,Inorganic chemicals
53,"Dyeing, tanning and colouring materials"
54,Medicinal and pharmaceutical products
55,Oils and perfume materials; toilet and cleansing preparations
56,"Fertilizers, manufactured"
57,Explosives and pyrotechnic products
58,"Artificial resins and plastic materials, and cellulose esters etc"
59,"Chemical materials and products, nes"
6,Manufactured goods classified chiefly by materials
61,"Leather, leather manufactures, nes, and dressed furskins"
62,"Rubber manufactures, nes"
63,"Cork and wood, cork manufactures"
64,"Paper, paperboard, and articles of pulp, of paper or of paperboard"
65,"Textile yarn, fabrics, made-up articles, nes, and related products"
66,"Non-metallic mineral manufactures, nes"
67,Iron and steel
68,Non-ferrous metals
69,"Manufactures of metals, nes"
7,Machinery and transport equipment
71,Power generating machinery and equipment
72,Machinery specialized for particular industries
73,Metalworking machinery
74,"General industrial machinery and equipment, nes, and parts of, nes"
75,Office machines and automatic data processing equipment
76,"Telecommunications, sound recording and reproducing equipment"
77,"Electric machinery, apparatus and appliances, nes, and parts, nes"
78,Road vehicles
79,Other transport equipment
8,Miscellaneous manufactured articles
81,"Sanitary, plumbing, heating, lighting fixtures and fittings, nes"
82,Furniture and parts thereof
83,"Travel goods, handbags and similar containers"
84,Articles of apparel and clothing accessories
85,Footwear
87,"Professional, scientific, controlling instruments, apparatus, nes"
88,"Photographic equipment and supplies, optical goods; watches, etc"
89,"Miscellaneous manufactured articles, nes"
9,Commodities and transactions not classified elsewhere in the SITC
91,Postal packages not classified according to kind
93,"Special transactions, commodity not classified according to class"
94,"Animals, live, nes, (including zoo animals, pets, insects, etc)"
95,"Armoured fighting vehicles, war firearms, ammunition, parts, nes"
96,"Coin (other than gold coin), not being legal tender"
97,"Gold, non-monetary (excluding gold ores and concentrates)"
